year_shamsi,month_shamsi,month_number_shamsi,year,month,day,t_mean,t_min,t_max,rain,ww_max,snow
"1,329",DEY,11,"1,951",JAN,1,3.1,2,9,0,3,#NULL!
"1,329",DEY,12,"1,951",JAN,2,1.8,-3,8,0,3,#NULL!
"1,329",DEY,13,"1,951",JAN,3,2.4,-2,8,19,71,#NULL!
"1,329",DEY,14,"1,951",JAN,4,2.5,2,4,1,44,#NULL!
"1,329",DEY,15,"1,951",JAN,5,-0.1,0,2,5,71,#NULL!
"1,329",DEY,16,"1,951",JAN,6,-3.1,-6,-1,0,71,#NULL!
"1,329",DEY,17,"1,951",JAN,7,-2.3,-4,-1,12,71,#NULL!
"1,329",DEY,18,"1,951",JAN,8,-4.2,-3,2,0,2,#NULL!
"1,329",DEY,19,"1,951",JAN,9,-5.1,-11,-1,0,10,#NULL!
"1,329",DEY,20,"1,951",JAN,10,-3.7,-7,1,0,3,#NULL!
"1,329",DEY,21,"1,951",JAN,11,-5,-7,1,0,3,#NULL!
"1,329",DEY,22,"1,951",JAN,12,-5.8,-9,2,0,3,#NULL!
"1,329",DEY,23,"1,951",JAN,13,-6.5,-10,-2,0,10,#NULL!
"1,329",DEY,24,"1,951",JAN,14,-7.8,-9,-3,0,10,#NULL!
"1,329",DEY,25,"1,951",JAN,15,-7.8,-10,-3,0,10,#NULL!
"1,329",DEY,26,"1,951",JAN,16,-4.7,-8,-1,5,75,#NULL!
"1,329",DEY,27,"1,951",JAN,17,-2.9,-8,0,0,10,#NULL!
"1,329",DEY,28,"1,951",JAN,18,-3.7,-4,-2,0,10,#NULL!
"1,329",DEY,29,"1,951",JAN,19,-4.1,-6,-1,0,10,#NULL!
"1,329",DEY,30,"1,951",JAN,20,-2.5,-3,-1,0,10,#NULL!
"1,329",BAH,1,"1,951",JAN,21,-0.1,-3,6,0,10,#NULL!
"1,329",BAH,2,"1,951",JAN,22,4.4,#NULL!,#NULL!,0,7,#NULL!
"1,329",BAH,3,"1,951",JAN,23,2.1,4,8,3,38,#NULL!
"1,329",BAH,4,"1,951",JAN,24,-4,-8,2,0,3,#NULL!
"1,329",BAH,5,"1,951",JAN,25,-4.1,-8,1,0,9,#NULL!
"1,329",BAH,6,"1,951",JAN,26,-6.1,-10,-2,0,2,#NULL!
"1,329",BAH,7,"1,951",JAN,27,-6.3,-13,1,0,2,#NULL!
"1,329",BAH,8,"1,951",JAN,28,-4.9,-10,3,0,2,#NULL!
"1,329",BAH,9,"1,951",JAN,29,-3.3,-9,3,0,3,#NULL!
"1,329",BAH,10,"1,951",JAN,30,-3.5,-7,1,0,10,#NULL!
"1,329",BAH,11,"1,951",JAN,31,-4.7,-7,1,0,10,#NULL!
"1,329",BAH,12,"1,951",FEB,1,-1.7,-9,4,0,3,#NULL!
"1,329",BAH,13,"1,951",FEB,2,0.8,-7,7,0,3,#NULL!
"1,329",BAH,14,"1,951",FEB,3,0.1,-5,8,0,3,#NULL!
"1,329",BAH,15,"1,951",FEB,4,0.4,-4,6,0,3,#NULL!
"1,329",BAH,16,"1,951",FEB,5,-1.1,-2,1,3,73,#NULL!
"1,329",BAH,17,"1,951",FEB,6,-4.6,-6,-1,3,73,#NULL!
"1,329",BAH,18,"1,951",FEB,7,-8.1,-9,-4,0,36,#NULL!
"1,329",BAH,19,"1,951",FEB,8,-11.4,-16,-5,0,2,#NULL!
"1,329",BAH,20,"1,951",FEB,9,-10.9,-17,-3,0,3,#NULL!
"1,329",BAH,21,"1,951",FEB,10,-9,-14,-2,0,10,#NULL!
"1,329",BAH,22,"1,951",FEB,11,-4.8,-11,1,0,3,#NULL!
"1,329",BAH,23,"1,951",FEB,12,-3.7,-7,2,0,2,#NULL!
"1,329",BAH,24,"1,951",FEB,13,-4.7,-10,3,0,3,#NULL!
"1,329",BAH,25,"1,951",FEB,14,-5.9,-12,2,0,3,#NULL!
"1,329",BAH,26,"1,951",FEB,15,-5.6,-11,3,0,2,#NULL!
"1,329",BAH,27,"1,951",FEB,16,-4.3,-11,3,0,3,#NULL!
"1,329",BAH,28,"1,951",FEB,17,-1.9,-6,2,1,73,#NULL!
"1,329",BAH,29,"1,951",FEB,18,1.2,-3,6,1,77,#NULL!
"1,329",BAH,30,"1,951",FEB,19,-0.5,0,2,29,85,#NULL!
"1,329",ESF,1,"1,951",FEB,20,-6,-7,-2,3,73,#NULL!
"1,329",ESF,2,"1,951",FEB,21,-4.5,-8,-1,0,3,#NULL!
"1,329",ESF,3,"1,951",FEB,22,-1.4,-7,6,0,3,#NULL!
"1,329",ESF,4,"1,951",FEB,23,1.3,-6,7,0,3,#NULL!
"1,329",ESF,5,"1,951",FEB,24,2.2,-2,9,0,3,#NULL!
"1,329",ESF,6,"1,951",FEB,25,3.7,-1,9,0,3,#NULL!
"1,329",ESF,7,"1,951",FEB,26,2.4,1,5,0.1,60,#NULL!
"1,329",ESF,8,"1,951",FEB,27,0.1,-2,4,0,3,#NULL!
"1,329",ESF,9,"1,951",FEB,28,-0.5,-7,7,0,3,#NULL!
"1,329",ESF,10,"1,951",MAR,1,2,-3,9,0,3,#NULL!
"1,329",ESF,11,"1,951",MAR,2,4,0,10,0,3,#NULL!
