"Year
(Persian)","Month
(Persian)","Day
(Persian)","Hydrological year
(Persian)","Date
(Persian)","Date
(Gregorian callendar)","Year
(Gregorian)","Month
(Gregorian)","Day
(Gregorian)","Water Level
(m above sea level)"
1344,9,3,1344-45,1344/09/03,11/24/1965,1965,11,24,1273.82
1344,9,4,1344-45,1344/09/04,11/25/1965,1965,11,25,1273.82
1344,9,5,1344-45,1344/09/05,11/26/1965,1965,11,26,1273.83
1344,9,6,1344-45,1344/09/06,11/27/1965,1965,11,27,1273.83
1344,9,7,1344-45,1344/09/07,11/28/1965,1965,11,28,1273.82
1344,9,8,1344-45,1344/09/08,11/29/1965,1965,11,29,1273.82
1344,9,9,1344-45,1344/09/09,11/30/1965,1965,11,30,1273.81
1344,9,10,1344-45,1344/09/10,12/1/1965,1965,12,1,1273.81
1344,9,11,1344-45,1344/09/11,12/2/1965,1965,12,2,1273.81
1344,9,12,1344-45,1344/09/12,12/3/1965,1965,12,3,1273.81
1344,9,13,1344-45,1344/09/13,12/4/1965,1965,12,4,1273.82
1344,9,14,1344-45,1344/09/14,12/5/1965,1965,12,5,1273.82
1344,9,15,1344-45,1344/09/15,12/6/1965,1965,12,6,1273.81
1344,9,16,1344-45,1344/09/16,12/7/1965,1965,12,7,1273.81
1344,9,17,1344-45,1344/09/17,12/8/1965,1965,12,8,1273.82
1344,9,18,1344-45,1344/09/18,12/9/1965,1965,12,9,1273.82
1344,9,19,1344-45,1344/09/19,12/10/1965,1965,12,10,1273.81
1344,9,20,1344-45,1344/09/20,12/11/1965,1965,12,11,1273.81
1344,9,21,1344-45,1344/09/21,12/12/1965,1965,12,12,1273.81
1344,9,22,1344-45,1344/09/22,12/13/1965,1965,12,13,1273.82
1344,9,23,1344-45,1344/09/23,12/14/1965,1965,12,14,1273.82
1344,9,24,1344-45,1344/09/24,12/15/1965,1965,12,15,1273.81
1344,9,25,1344-45,1344/09/25,12/16/1965,1965,12,16,1273.81
1344,9,26,1344-45,1344/09/26,12/17/1965,1965,12,17,1273.81
1344,9,27,1344-45,1344/09/27,12/18/1965,1965,12,18,1273.81
1344,9,28,1344-45,1344/09/28,12/19/1965,1965,12,19,1273.81
1344,9,29,1344-45,1344/09/29,12/20/1965,1965,12,20,1273.81
1344,9,30,1344-45,1344/09/30,12/21/1965,1965,12,21,1273.81
1344,10,1,1344-45,1344/10/01,12/22/1965,1965,12,22,1273.81
1344,10,2,1344-45,1344/10/02,12/23/1965,1965,12,23,1273.81
1344,10,3,1344-45,1344/10/03,12/24/1965,1965,12,24,1273.81
